date,value
2019-10-13,Aquamarine
2019-11-12,Aquamarine
2020-02-11,Puce
2020-01-22,Turquoise
2019-12-20,Fuscia
2019-12-21,Puce
2019-11-22,Violet
2019-12-27,Turquoise
2019-12-12,Green
2020-01-06,Goldenrod
2019-10-06,Mauv
2019-12-04,Blue
2019-12-15,Pink
2019-10-04,Goldenrod
2019-10-17,Blue
2019-12-14,Yellow
2019-11-21,Purple
2020-01-09,Goldenrod
2019-10-27,Blue
2020-02-12,Blue
2019-10-25,Orange
2019-10-18,Maroon
2019-11-14,Red
2019-11-10,Yellow
2020-01-07,Pink
2019-12-29,Teal
2020-02-05,Crimson
2019-11-23,Green
2019-10-28,Orange
2020-02-16,Violet
2019-11-17,Mauv
2019-12-02,Red
2020-02-23,Teal
2019-10-12,Red
2019-12-06,Green
2019-12-13,Indigo
2019-11-07,Puce
2020-02-18,Khaki
2019-11-12,Blue
2019-12-30,Maroon
2020-01-27,Mauv
2020-01-16,Blue
2019-10-06,Turquoise
2019-10-15,Khaki
2019-12-22,Turquoise
2020-01-05,Fuscia
2020-01-28,Goldenrod
2020-02-16,Crimson
2020-01-20,Puce
2019-12-12,Mauv
2020-02-02,Purple
2019-11-09,Khaki
2019-10-18,Teal
2020-01-14,Orange
2019-12-05,Red
2019-10-26,Indigo
2020-02-18,Pink
2019-10-23,Khaki
2019-10-07,Pink
2019-11-03,Fuscia
2019-10-16,Khaki
2020-01-07,Maroon
2019-10-23,Red
2019-11-24,Teal
2020-02-18,Khaki
2020-02-17,Goldenrod
2020-01-12,Pink
2019-10-18,Teal
2020-02-13,Violet
2020-02-19,Crimson
2020-01-19,Goldenrod
2020-02-21,Blue
2019-10-12,Aquamarine
2019-10-15,Green
2019-11-08,Goldenrod
2020-01-20,Puce
2020-01-11,Maroon
2019-10-08,Fuscia
2019-10-20,Blue
2020-01-29,Pink
2019-11-18,Violet
2019-11-15,Maroon
2019-10-22,Purple
2020-02-11,Crimson
2019-12-23,Blue
2020-01-29,Violet
2020-02-13,Pink
2019-11-21,Pink
2020-02-04,Blue
2020-02-12,Khaki
2019-11-15,Aquamarine
2020-01-13,Crimson
2020-02-09,Puce
2019-12-27,Crimson
2019-11-04,Crimson
2019-12-19,Pink
2020-01-18,Violet
2019-12-20,Blue
2020-02-03,Turquoise
2019-10-26,Purple
2019-11-10,Indigo
2020-01-09,Turquoise
2019-12-07,Maroon
2019-10-10,Mauv
2019-12-07,Blue
2019-12-16,Crimson
2019-12-16,Blue
2019-11-27,Yellow
2019-10-29,Green
2019-12-05,Indigo
2019-10-31,Red
2019-12-12,Crimson
2019-11-27,Indigo
2020-01-22,Puce
2019-10-13,Green
2020-01-22,Puce
2020-01-07,Orange
2020-01-25,Crimson
2019-12-20,Khaki
2019-12-10,Maroon
2019-10-05,Fuscia
2019-11-05,Aquamarine
2020-01-29,Yellow
2019-12-11,Mauv
2019-12-19,Yellow
2019-11-23,Fuscia
2019-12-13,Purple
2020-02-21,Pink
2019-12-13,Teal
2019-10-25,Fuscia
2020-01-15,Pink
2019-12-03,Puce
2019-10-25,Blue
2020-01-12,Blue
2020-01-03,Puce
2019-12-10,Orange
2019-11-02,Violet
2020-01-21,Khaki
2019-11-14,Puce
2019-12-27,Blue
2019-12-10,Puce
2019-10-01,Violet
2020-01-04,Teal
2019-12-15,Maroon
2020-01-04,Aquamarine
2019-10-23,Indigo
2020-01-01,Puce
2019-11-24,Puce
2019-12-01,Crimson
2020-01-02,Purple
2020-02-13,Mauv
2020-01-27,Green
2019-11-20,Fuscia
2020-01-26,Goldenrod
2019-12-14,Crimson
2019-10-28,Teal
2020-01-28,Fuscia
2019-12-27,Purple
2019-10-07,Green
2020-02-19,Fuscia
2019-10-29,Khaki
2019-11-08,Aquamarine
2019-10-16,Green
2019-11-17,Pink
2020-02-13,Pink
2019-12-02,Fuscia
2019-12-23,Blue
2020-01-30,Purple
2019-12-09,Khaki
2019-11-04,Pink
2019-10-19,Indigo
2020-01-06,Pink
2019-12-10,Fuscia
2020-02-20,Orange
2020-02-16,Khaki
2020-02-08,Aquamarine
2019-12-17,Aquamarine
2019-12-09,Aquamarine
2019-11-03,Fuscia
2020-02-22,Fuscia
2019-11-12,Yellow
2020-02-18,Goldenrod
2019-12-28,Fuscia
2019-12-06,Khaki
2020-01-07,Pink
2020-02-12,Fuscia
2020-01-13,Goldenrod
2020-01-28,Puce
2019-12-28,Red
2020-02-07,Red
2020-01-02,Purple
2019-10-27,Pink
2020-01-24,Violet
2020-01-26,Goldenrod
2019-12-14,Khaki
2019-10-26,Yellow
2019-10-08,Fuscia
2019-12-15,Turquoise
2019-10-05,Orange
2019-10-03,Blue
2020-01-10,Puce
2019-11-04,Red
2019-10-27,Maroon
2019-11-21,Turquoise
2019-11-18,Aquamarine
2020-02-20,Goldenrod
2020-01-21,Maroon
2019-12-13,Mauv
2019-10-31,Fuscia
2019-10-14,Khaki
2019-12-29,Blue
2020-01-08,Khaki
2019-11-18,Mauv
2019-12-01,Crimson
2019-11-13,Indigo
2019-10-16,Puce
2020-01-05,Mauv
2020-01-26,Fuscia
2020-02-12,Blue
2019-12-11,Turquoise
2019-11-08,Blue
2020-02-03,Mauv
2019-11-29,Khaki
2020-01-14,Fuscia
2020-01-31,Pink
2020-02-08,Goldenrod
2019-11-06,Turquoise
2019-12-23,Violet
2020-01-24,Purple
2019-10-20,Turquoise
2020-02-02,Red
2019-11-16,Fuscia
2020-02-11,Fuscia
2019-11-27,Orange
2019-11-23,Maroon
2019-11-16,Indigo
2019-10-14,Blue
2020-01-04,Red
2020-01-20,Orange
2020-01-10,Fuscia
2020-01-28,Turquoise
2020-01-14,Mauv
2019-11-26,Mauv
2019-11-30,Indigo
2020-02-14,Crimson
2020-01-06,Crimson
2019-10-27,Crimson
2019-11-03,Orange
2019-11-30,Goldenrod
2019-11-27,Turquoise
2019-11-02,Pink
2019-12-12,Green
2020-02-12,Purple
2019-11-12,Green
2020-02-05,Purple
2019-10-11,Orange
2019-12-02,Blue
2019-11-15,Violet
2019-11-14,Mauv
2019-12-27,Goldenrod
2020-01-11,Pink
2019-11-30,Teal
2019-11-14,Green
2020-02-09,Yellow
2019-10-13,Teal
2019-10-26,Orange
2019-12-04,Yellow
2020-01-17,Blue
2019-10-25,Puce
2019-11-24,Indigo
2020-01-29,Green
2019-11-29,Aquamarine
2019-11-07,Teal
2019-10-12,Maroon
2019-11-09,Purple
2019-10-01,Yellow
2019-10-04,Teal
2019-11-29,Blue
2019-12-10,Blue
2019-11-17,Purple
2020-01-02,Mauv
2019-12-08,Violet
2019-12-13,Fuscia
2020-01-26,Mauv
2019-12-27,Purple
2020-02-16,Mauv
2020-01-23,Indigo
2019-10-25,Fuscia
2020-01-02,Crimson
2019-11-15,Aquamarine
2019-11-24,Maroon
2020-02-09,Yellow
2019-12-02,Puce
2019-12-21,Mauv
2019-11-29,Goldenrod
2019-12-10,Maroon
2019-12-15,Green
2019-12-08,Khaki
2019-12-31,Green
2019-12-09,Mauv
2020-01-30,Mauv
2019-11-13,Crimson
2020-01-16,Purple
2019-12-10,Fuscia
2019-12-03,Purple
2019-10-06,Red
2020-02-02,Indigo
2019-10-16,Puce
2019-10-21,Puce
2019-10-11,Purple
2019-11-12,Purple
2019-11-09,Indigo
2019-12-16,Red
2019-11-26,Mauv
2019-11-06,Green
2019-11-11,Red
2019-10-28,Puce
2020-02-16,Turquoise
2019-12-15,Teal
2019-10-26,Mauv
2020-02-17,Purple
2020-01-14,Pink
2019-12-31,Mauv
2019-12-14,Turquoise
2019-11-07,Blue
2020-02-10,Green
2019-10-20,Purple
2019-11-17,Mauv
2020-02-20,Puce
2019-11-24,Crimson
2019-10-02,Turquoise
2019-10-03,Teal
2019-10-30,Violet
2019-12-02,Yellow
2019-10-03,Aquamarine
2019-12-10,Pink
2019-10-30,Mauv
2019-12-14,Aquamarine
2019-10-07,Red
2019-11-14,Yellow
2020-02-16,Pink
2019-11-09,Indigo
2019-12-01,Crimson
2019-10-15,Aquamarine
2019-10-12,Red
2019-12-03,Pink
2019-11-28,Aquamarine
2019-11-09,Khaki
2020-01-03,Orange
2019-12-17,Khaki
2020-02-20,Puce
2019-11-14,Violet
2020-01-15,Aquamarine
2020-02-21,Red
2020-01-15,Aquamarine
2020-02-14,Turquoise
2020-01-03,Mauv
2020-02-17,Turquoise
2019-10-25,Pink
2019-10-14,Turquoise
2020-01-17,Teal
2019-10-18,Yellow
2019-12-02,Mauv
2019-11-03,Crimson
2020-02-21,Blue
2019-11-14,Pink
2019-11-24,Teal
2019-11-30,Goldenrod
2019-11-20,Goldenrod
2019-11-26,Crimson
2020-01-24,Khaki
2020-01-12,Fuscia
2019-10-25,Teal
2019-10-13,Fuscia
2019-10-08,Red
2019-10-26,Red
2019-12-29,Pink
2019-10-12,Crimson
2020-02-11,Purple
2020-01-18,Red
2019-12-10,Orange
2019-11-29,Violet
2019-12-24,Khaki
2020-02-25,Puce
2019-10-22,Yellow
2019-12-22,Purple
2019-10-12,Violet
2019-11-26,Mauv
2019-12-09,Green
2020-02-21,Teal
2020-02-02,Turquoise
2020-01-02,Red
2019-11-27,Turquoise
2020-01-17,Goldenrod
2019-10-18,Aquamarine
2020-01-20,Khaki
2020-01-27,Puce
2019-10-07,Pink
2020-01-12,Crimson
2020-01-28,Violet
2019-12-22,Red
2019-12-12,Red
2020-01-18,Fuscia
2020-01-18,Green
2020-01-02,Indigo
2019-10-13,Khaki
2019-12-12,Fuscia
2019-12-29,Aquamarine
2020-02-11,Yellow
2019-11-10,Crimson
2019-12-02,Orange
2019-12-16,Turquoise
2020-01-05,Violet
2019-11-10,Puce
2019-11-17,Turquoise
2020-01-29,Indigo
2020-01-18,Mauv
2020-02-20,Khaki
2019-11-28,Goldenrod
2020-01-15,Khaki
2019-10-20,Teal
2019-11-04,Teal
2019-12-19,Indigo
2020-02-02,Blue
2020-02-21,Maroon
2019-10-12,Purple
2019-12-29,Yellow
2019-11-17,Yellow
2019-10-25,Indigo
2020-01-24,Yellow
2020-01-27,Goldenrod
2019-10-06,Indigo
2019-11-15,Orange
2019-11-05,Yellow
2020-01-23,Pink
2020-02-22,Yellow
2019-10-21,Turquoise
2020-01-16,Goldenrod
2020-02-05,Violet
2019-11-29,Red
2020-02-24,Blue
2020-01-12,Puce
2020-02-18,Fuscia
2020-01-06,Crimson
2020-02-04,Purple
2020-01-04,Teal
2019-10-07,Orange
2019-10-24,Red
2020-02-12,Red
2020-01-28,Blue
2019-12-15,Pink
2019-11-11,Goldenrod
2019-11-14,Puce
2019-12-03,Turquoise
2019-10-17,Indigo
2020-01-20,Crimson
2019-11-29,Turquoise
2020-02-23,Green
2019-10-20,Orange
2019-11-03,Indigo
2019-10-10,Puce
2019-11-25,Goldenrod
2019-11-13,Teal
2020-01-05,Crimson
2019-12-18,Green
2019-10-28,Blue
2020-02-04,Violet
2019-12-02,Red
2019-11-14,Maroon
2019-10-16,Goldenrod
2019-12-28,Teal
2019-12-01,Maroon
2019-10-23,Orange
2019-12-04,Aquamarine
2019-12-05,Puce
2019-11-29,Yellow
2020-01-28,Goldenrod
2019-12-02,Green
2020-01-16,Aquamarine
2019-10-20,Khaki
2019-11-24,Puce
2019-12-25,Violet
2019-12-11,Goldenrod
2020-01-27,Puce
2020-02-01,Blue
2019-10-12,Goldenrod
2020-01-09,Red
2019-12-21,Indigo
2020-02-12,Goldenrod
2020-02-15,Orange
2020-02-01,Aquamarine
2019-10-27,Turquoise
2019-10-17,Orange
2019-12-22,Turquoise
2019-12-04,Red
2019-12-18,Crimson
2019-11-04,Indigo
2020-02-14,Turquoise
2019-11-03,Crimson
2019-11-08,Goldenrod
2019-12-16,Yellow
2019-11-07,Teal
2019-10-11,Indigo
2020-02-06,Violet
2019-10-08,Fuscia
2020-02-03,Blue
2019-10-22,Indigo
2019-11-13,Blue
2020-01-28,Khaki
2020-01-09,Blue
2019-11-22,Aquamarine
2020-01-10,Fuscia
2019-10-16,Pink
2020-02-03,Violet
2019-10-21,Aquamarine
2020-02-06,Maroon
2019-12-01,Goldenrod
2020-02-25,Teal
2020-01-03,Yellow
2019-12-25,Turquoise
2019-12-19,Teal
2020-02-24,Green
2019-10-17,Pink
2019-11-05,Khaki
2019-11-03,Orange
2020-02-24,Maroon
2020-01-22,Violet
2019-10-08,Yellow
2019-12-10,Khaki
2019-11-30,Khaki
2019-12-02,Red
2019-11-30,Red
2019-11-20,Orange
2019-10-24,Crimson
2019-10-02,Violet
2019-11-27,Goldenrod
2020-02-08,Blue
2020-02-22,Purple
2019-10-24,Fuscia
2020-01-28,Blue
2019-11-17,Maroon
2019-10-30,Khaki
2019-11-03,Crimson
2019-11-10,Khaki
2020-01-25,Fuscia
2019-10-06,Blue
2019-10-13,Red
2020-01-09,Violet
2020-01-22,Puce
2019-12-10,Blue
2019-10-07,Teal
2020-01-06,Indigo
2019-11-16,Blue
2020-01-24,Turquoise
2019-11-09,Pink
2019-10-11,Fuscia
2019-10-11,Khaki
2020-02-13,Pink
2019-10-29,Aquamarine
2019-11-18,Purple
2019-11-27,Mauv
2019-10-19,Purple
2019-11-11,Orange
2020-01-31,Orange
2019-10-10,Fuscia
2019-10-02,Green
2019-10-16,Orange
2019-10-17,Aquamarine
2019-11-12,Turquoise
2020-01-12,Maroon
2019-11-12,Yellow
2020-01-26,Khaki
2020-01-13,Maroon
2019-12-26,Maroon
2019-12-01,Crimson
2019-11-26,Yellow
2019-11-08,Goldenrod
2020-01-25,Teal
2019-12-13,Crimson
2020-02-04,Violet
2020-02-20,Maroon
2020-02-24,Pink
2019-12-14,Crimson
2019-12-09,Turquoise
2019-10-22,Turquoise
2019-10-03,Yellow
2020-01-28,Orange
2020-01-26,Purple
2020-01-09,Turquoise
2019-11-19,Aquamarine
2020-01-29,Pink
2019-12-20,Violet
2019-11-05,Fuscia
2020-01-11,Red
2020-01-11,Puce
2020-02-14,Teal
2020-02-19,Indigo
2019-12-03,Mauv
2020-01-20,Indigo
2020-01-11,Aquamarine
2019-12-21,Violet
2019-10-03,Pink
2020-01-11,Khaki
2019-10-18,Yellow
2019-10-26,Indigo
2020-02-21,Turquoise
2020-01-15,Fuscia
2020-02-21,Crimson
2019-10-27,Maroon
2019-12-14,Pink
2019-11-07,Blue
2019-10-18,Crimson
2019-10-27,Crimson
2019-11-21,Red
2019-11-20,Red
2019-12-26,Orange
2019-12-30,Crimson
2019-11-20,Red
2019-10-26,Violet
2019-12-03,Purple
2020-02-13,Orange
2020-02-22,Khaki
2019-11-28,Indigo
2019-11-11,Indigo
2019-11-19,Yellow
2020-01-14,Violet
2019-11-15,Indigo
2020-02-14,Aquamarine
2020-01-08,Red
2019-12-18,Blue
2019-11-04,Goldenrod
2019-11-16,Goldenrod
2019-10-05,Blue
2019-10-09,Fuscia
2019-11-12,Maroon
2020-02-01,Red
2020-01-11,Aquamarine
2019-11-09,Khaki
2019-12-14,Indigo
2019-12-30,Yellow
2019-11-26,Aquamarine
2019-12-07,Blue
2020-02-16,Maroon
2020-02-25,Purple
2019-12-25,Green
2019-11-27,Maroon
2019-11-09,Blue
2019-12-28,Purple
2020-01-30,Orange
2020-01-11,Turquoise
2019-12-12,Pink
2019-12-25,Violet
2020-01-11,Maroon
2020-02-13,Maroon
2020-01-27,Purple
2019-10-15,Violet
2020-02-21,Blue
2020-01-27,Turquoise
2020-02-16,Turquoise
2019-11-23,Green
2020-01-27,Orange
2020-02-22,Indigo
2019-12-04,Indigo
2019-12-15,Crimson
2020-01-06,Khaki
2020-02-02,Red
2019-10-15,Puce
2019-10-30,Maroon
2019-10-13,Indigo
2020-01-12,Indigo
2019-11-14,Khaki
2019-10-23,Red
2020-01-01,Blue
2019-12-12,Maroon
2020-02-14,Indigo
2019-10-03,Yellow
2019-11-11,Yellow
2020-02-24,Teal
2019-11-05,Purple
2020-02-02,Crimson
2019-12-08,Fuscia
2020-01-10,Goldenrod
2019-10-13,Maroon
2019-12-27,Indigo
2019-12-04,Khaki
2019-10-20,Orange
2019-10-12,Crimson
2019-10-06,Puce
2019-11-19,Purple
2019-10-27,Teal
2019-10-20,Purple
2019-12-28,Teal
2019-11-22,Pink
2020-01-19,Orange
2019-12-15,Khaki
2019-11-04,Khaki
2019-11-11,Goldenrod
2020-02-13,Mauv
2019-10-10,Yellow
2019-12-12,Pink
2019-11-21,Mauv
2020-02-07,Turquoise
2019-12-22,Crimson
2019-11-03,Puce
2019-10-20,Crimson
2019-10-27,Fuscia
2019-10-12,Teal
2020-02-13,Green
2019-12-19,Khaki
2020-02-11,Crimson
2020-02-24,Goldenrod
2019-12-01,Goldenrod
2019-12-18,Crimson
2019-11-14,Turquoise
2020-01-06,Khaki
2020-02-23,Mauv
2020-01-23,Blue
2019-11-11,Indigo
2019-10-17,Crimson
2020-01-02,Fuscia
2020-01-26,Puce
2019-12-16,Indigo
2019-10-13,Red
2019-11-13,Maroon
2019-10-07,Aquamarine
2019-11-20,Fuscia
2020-01-24,Maroon
2019-12-05,Mauv
2019-12-13,Khaki
2019-12-24,Fuscia
2019-12-28,Goldenrod
2019-12-16,Green
2019-12-23,Indigo
2020-01-13,Indigo
2019-10-25,Purple
2020-01-16,Green
2020-02-07,Khaki
2019-10-29,Blue
2020-01-05,Violet
2019-12-15,Mauv
2020-01-17,Crimson
2020-02-17,Maroon
2019-12-19,Violet
2019-10-27,Red
2019-11-14,Puce
2019-12-27,Fuscia
2020-01-03,Mauv
2020-01-13,Purple
2019-11-15,Mauv
2019-12-01,Yellow
2019-10-03,Purple
2020-02-03,Indigo
2020-01-12,Maroon
2020-01-10,Purple
2019-12-30,Aquamarine
2019-12-22,Mauv
2019-11-29,Indigo
2020-02-23,Khaki
2019-10-01,Goldenrod
2019-11-22,Khaki
2019-10-11,Crimson
2020-02-22,Pink
2020-02-01,Puce
2019-12-01,Blue
2019-10-30,Fuscia
2020-02-25,Blue
2019-12-21,Turquoise
2019-11-15,Indigo
2019-11-27,Orange
2019-10-11,Purple
2020-01-21,Maroon
2019-10-06,Goldenrod
2019-10-24,Purple
2020-01-09,Puce
2019-12-12,Yellow
2019-10-06,Mauv
2020-01-09,Orange
2020-02-03,Red
2020-02-19,Pink
2019-11-22,Teal
2019-12-05,Violet
2019-10-08,Maroon
2019-11-07,Aquamarine
2019-11-23,Pink
2019-10-20,Yellow
2019-12-07,Puce
2019-11-18,Crimson
2019-12-25,Fuscia
2019-12-02,Goldenrod
2020-01-17,Goldenrod
2020-02-15,Red
2019-12-09,Crimson
2020-01-14,Maroon
2019-10-21,Crimson
2019-10-19,Indigo
2020-01-12,Khaki
2019-10-25,Indigo
2020-01-10,Maroon
2020-02-05,Puce
2019-11-22,Goldenrod
2019-10-18,Crimson
2020-01-31,Teal
2020-02-11,Mauv
2019-12-19,Turquoise
2020-02-04,Green
2020-01-23,Goldenrod
2019-10-18,Pink
2020-01-10,Purple
2020-02-20,Purple
2020-01-16,Indigo
2019-11-20,Puce
2020-01-05,Blue
2020-01-04,Purple
2019-10-02,Crimson
2019-10-19,Crimson
2020-01-09,Yellow
2020-01-25,Puce
2019-11-05,Mauv
2019-11-09,Crimson
2019-10-09,Blue
2019-11-10,Maroon
2019-11-04,Fuscia
2019-11-13,Purple
2019-11-30,Violet
2019-10-24,Puce
2019-10-20,Orange
2019-12-22,Turquoise
2020-02-01,Teal
2019-10-29,Green
2019-12-04,Green
2019-10-06,Maroon
2020-01-17,Maroon
2019-10-22,Yellow
2020-01-27,Teal
2019-11-07,Crimson
2020-02-09,Maroon
2020-01-22,Blue
2020-02-08,Mauv
2020-02-12,Mauv
2020-02-19,Puce
2020-01-17,Fuscia
2019-12-11,Crimson
2019-12-17,Crimson
2020-02-24,Yellow
2019-11-08,Fuscia
2019-10-26,Turquoise
2019-12-30,Mauv
2020-02-11,Red
2020-02-04,Yellow
2020-02-10,Purple
2020-01-28,Green
2020-02-13,Turquoise
2019-12-16,Pink
2019-11-11,Puce
2019-11-14,Puce
2019-12-08,Khaki
2019-11-22,Green
2019-10-23,Goldenrod
2019-12-23,Puce
2019-12-02,Pink
2019-11-20,Purple
2020-01-26,Maroon
2020-01-31,Turquoise
2019-12-13,Yellow
2019-12-18,Pink
2019-10-06,Goldenrod
2020-02-25,Yellow
2019-12-20,Teal
2019-12-15,Blue
2019-12-27,Aquamarine
2019-10-02,Maroon
2019-12-30,Yellow
2019-10-27,Aquamarine
2020-01-07,Turquoise
2020-01-14,Pink
2019-10-23,Goldenrod
2020-01-25,Pink
2020-02-06,Orange
2019-11-19,Violet
2019-10-28,Red
2020-01-29,Aquamarine
2019-12-15,Yellow
2019-12-02,Violet
2020-02-09,Aquamarine
2020-01-07,Crimson
2020-01-28,Orange
2020-01-07,Yellow
2019-11-06,Mauv
2019-11-13,Indigo
2020-01-19,Fuscia
2019-10-11,Violet
2020-01-28,Green
2019-12-24,Khaki
2020-02-11,Orange
2019-11-12,Violet
2019-10-02,Green
2019-10-28,Yellow
2019-12-15,Mauv
2019-10-22,Puce
2019-11-08,Maroon
2020-01-28,Yellow
2020-01-27,Turquoise
2019-10-22,Red
2019-11-01,Fuscia
2020-01-15,Fuscia
2020-01-15,Purple
2020-02-02,Yellow
2020-02-24,Teal
2020-02-19,Teal
2020-01-31,Violet
2019-12-28,Fuscia
2020-01-15,Mauv
2019-10-06,Violet
2019-12-02,Khaki
2019-12-12,Crimson
2019-08-25,Rupiah
2019-09-14,Yuan Renminbi
2019-08-04,Rial
2019-07-24,Loti
2019-06-03,Euro
2019-07-31,Yuan Renminbi
2019-07-11,Rupiah
2019-08-18,Sol
2019-08-16,Afghani
2019-06-28,Yuan Renminbi
2019-09-24,Real
2019-06-05,Koruna
2019-08-17,Peso
2019-08-17,Yuan Renminbi
2019-08-01,Euro
2019-08-12,Dram
2019-09-02,Dollar
2019-09-26,Naira
2019-08-09,Zloty
2019-06-26,Peso
2019-09-14,Peso
2019-09-19,Rupiah
2019-08-03,Euro
2019-07-09,Rial
2019-07-12,Krona
2019-08-11,Euro
2019-09-28,Dollar
2019-09-26,Peso
2019-07-20,Peso
2019-09-23,Euro
2019-09-29,Rupiah
2019-07-20,Yuan Renminbi
2019-08-16,Peso
2019-09-07,Krone
2019-09-10,Kuna
2019-08-16,Euro
2019-07-30,Peso
2019-08-25,Euro
2019-07-14,Koruna
2019-08-14,Lek
2019-07-11,Zloty
2019-09-17,Rupiah
2019-07-08,Rial
2019-06-06,Hryvnia
2019-08-11,Dollar
2019-07-07,Euro
2019-08-13,Yuan Renminbi
2019-09-17,Gourde
2019-09-13,Yen
2019-07-19,Euro
2019-06-20,Sol
2019-09-18,Naira
2019-08-11,Rupiah
2019-06-29,Euro
2019-09-22,Peso
2019-08-07,Dong
2019-08-18,Yuan Renminbi
2019-08-17,Rupiah
2019-09-02,Peso
2019-09-19,Peso
2019-06-29,Yen
2019-07-27,Peso
2019-06-12,Ruble
2019-06-30,Marka
2019-08-28,Euro
2019-06-29,Lev
2019-08-01,Yuan Renminbi
2019-08-11,Hryvnia
2019-06-25,Rupiah
2019-07-24,Rupiah
2019-09-28,Dinar
2019-08-08,Rand
2019-09-10,Yuan Renminbi
2019-06-21,Rupiah
2019-08-07,Koruna
2019-09-16,Rupiah
2019-09-29,Yuan Renminbi
2019-09-24,Peso
2019-08-10,Euro
2019-06-28,Zloty
2019-06-14,Real
2019-08-28,Krona
2019-09-09,Yuan Renminbi
2019-08-31,Yuan Renminbi
2019-07-14,Yuan Renminbi
2019-08-02,Peso
2019-08-30,Rupiah
2019-09-22,Peso
2019-07-12,Yuan Renminbi
2019-07-02,Zloty
2019-09-17,Dollar
2019-09-19,Lempira
2019-08-20,Yuan Renminbi
2019-06-22,Hryvnia
2019-09-05,Zloty
2019-06-13,Litas
2019-08-18,Yuan Renminbi
2019-09-15,Tenge
2019-09-21,Real
2019-08-23,Yuan Renminbi
2019-08-09,Ruble
2019-08-13,Peso
2019-07-16,Krona
2019-07-13,Dollar
2019-07-10,Bolivar
2019-06-22,Euro
2019-06-10,Yuan Renminbi
2019-06-07,Yuan Renminbi
2019-06-29,Yuan Renminbi
2019-06-24,Peso
2019-08-09,Yuan Renminbi
2019-07-03,Krona
2019-09-11,Rupiah
2019-09-19,Euro
2019-08-29,Yuan Renminbi
2019-08-08,Tugrik
2019-08-19,Yuan Renminbi
2019-08-01,Yuan Renminbi
2019-06-15,Krone
2019-06-07,Rupiah
2019-06-27,Peso
2019-08-24,Euro
2019-07-17,Rand
2019-08-06,Euro
2019-07-25,Real
2019-09-22,Leu
2019-08-13,Yuan Renminbi
2019-07-19,Yuan Renminbi
2019-09-18,Euro
2019-09-08,Yuan Renminbi
2019-09-01,Yuan Renminbi
2019-09-04,Ruble
2019-07-13,Peso
2019-09-19,Yuan Renminbi
2019-08-07,Rupiah
2019-07-22,Peso
2019-07-02,Zloty
2019-09-04,Yuan Renminbi
2019-08-18,Yuan Renminbi
2019-09-09,Ruble
2019-07-06,Shilling
2019-06-10,Dirham
2019-08-24,Euro
2019-07-23,Yuan Renminbi
2019-09-25,Yuan Renminbi
2019-06-05,Yuan Renminbi
2019-08-01,Ruble
2019-08-06,Yuan Renminbi
2019-06-11,Yen
2019-07-23,Lev
2019-08-24,Yuan Renminbi
2019-06-14,Yuan Renminbi
2019-07-19,Yuan Renminbi
2019-09-17,Ringgit
2019-09-05,Rupiah
2019-07-11,Rupiah
2019-07-03,Real
2019-09-07,Real
2019-08-29,Rupiah
2019-07-19,Real
2019-08-08,Yuan Renminbi
2019-09-05,Hryvnia
2019-07-06,Krona
2019-06-28,Yuan Renminbi
2019-06-25,Ngultrum
2019-08-05,Rand
2019-07-30,Peso
2019-08-12,Koruna
2019-09-24,Peso
2019-08-04,Peso
2019-06-15,Rial
2019-08-22,Rupiah
2019-08-22,Franc
