id,value
2019-05-19,Bachelor Party
2019-12-28,Sherlock Holmes Faces Death
2019-11-02,Death in Venice (Morte a Venezia)
2019-06-24,Born Reckless
2019-04-04,The Forgotten Space
2019-08-12,California Suite
2019-04-11,You Are God (Jestes Bogiem)
2019-11-02,Absolute Beginners
2019-06-27,Welcome to the South (Benvenuti al Sud)
2019-07-31,Indecent Proposal
2019-06-08,Dog Soldiers
2019-08-20,"Constant Gardener, The"
2019-04-27,"Reeds, The"
2019-12-04,Armless
2019-07-01,Beautiful People
2019-07-08,"Cuenca Crime, The (Crimen de Cuenca, El)"
2019-03-18,Madhouse
2019-05-21,Johnny Be Good
2019-04-21,Dots
2019-11-22,Michael Jordan to the Max
2019-08-10,"Good Humor Man, The"
2019-03-30,Rusalochka (The Little Mermaid)
2019-04-26,Dealin' with Idiots
2019-07-29,Baran
2019-10-13,Condo Painting
2019-08-10,Closet Land
2019-11-01,Muppet Treasure Island
2019-07-28,Sun Wind (Aurinkotuuli)
2019-05-04,Three Wishes
2019-04-11,Random Harvest
2019-07-05,Looker
2019-06-11,Phil Ochs: There But for Fortune
2019-07-08,Soldier Blue
2019-05-16,Dead Ahead: The Exxon Valdez Disaster
2019-09-13,Battle Hymn
2019-04-02,Deep Cover
2019-08-25,Hamlet
2019-10-10,"...All the Marbles (California Dolls, The)"
2019-06-20,Riding in Cars with Boys
2019-12-16,First Daughter
2019-07-26,Holidaze
2019-10-07,He Ran All the Way
2019-07-09,Fairhaven
2019-07-26,Billy the Kid
2019-04-22,Thanksgiving Family Reunion (National Lampoon's Holiday Reunion)
2019-09-17,Kiki's Delivery Service
2019-07-01,Grey Gardens
2019-08-17,Constantine's Sword
2019-11-15,"Excuse Me Darling, But Lucas Loved Me"
2019-12-26,Sangre de mi sangre (Padre Nuestro)
2019-03-22,"Bless Me, Ultima"
2019-07-19,Zero Tolerance (Noll tolerans)
2019-09-19,8 Million Ways to Die
2019-07-07,"High, Wide, and Handsome"
2019-03-22,Hack!
2019-03-24,Meu Passado Me Condena: O Filme
2019-12-30,"Maybe, Maybe Not (Bewegte Mann, Der)"
2019-10-09,"Boys, The"
2019-05-23,"Taming of the Shrew, The"
2019-08-03,Jackass 3.5
2019-12-09,Citadel
2019-03-24,Saving God
2019-05-16,Drop Dead Gorgeous
2019-05-15,"Great White Hope, The"
2019-10-20,The Boogens
2019-10-24,Jean Gentil
2019-10-16,"Gestapo's Last Orgy, The (L'ultima orgia del III Reich)"
2019-08-27,"Courage of the Eagles, The (Les aiguilles rouges)"
2019-04-25,Throw Momma from the Train
2019-05-04,Edward Scissorhands
2019-05-12,Uncommon Valor
2019-06-02,No Time for Love
2019-12-20,"Paper Chase, The"
2019-05-10,Born to Defense (Zhong hua ying xiong)
2019-12-06,"Haunting, The"
2019-09-26,Heidi
2019-07-03,Noriko's Dinner Table (Noriko no shokutaku)
2019-05-13,Words and Pictures
2019-09-29,"Fine Mess, A"
2019-09-30,"Girl on the Train, The (La fille du RER)"
2019-12-05,13 Ghosts
2019-11-28,Here Comes Peter Cottontail 
2019-11-29,Talaash
2019-12-26,Wake
2019-10-14,I Shot a Man in Vegas
2019-10-03,"Apple, The"
2019-08-13,America Before Columbus
2019-07-16,Wordplay
2019-05-13,"Fire Within, The (Feu follet, Le)"
2019-04-05,House of Women
2019-04-24,"Church, The (Chiesa, La)"
2019-04-19,Mr. Blandings Builds His Dream House
2019-04-28,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar)"
2019-10-04,"Man, The"
2019-07-26,Doctor at Large
2019-07-18,"Unbearable Lightness of Being, The"
2019-10-06,"Pleasure of Being Robbed, The"
2019-03-11,Country
2019-04-27,Montana
2019-10-15,Take Me Home Tonight
2019-10-18,Saint (Sint)
2019-06-23,Child's Play
2019-10-06,Over Her Dead Body
2019-09-23,Zulu Dawn
2019-06-15,Time and Tide (Seunlau Ngaklau)
2019-07-02,I Always Wanted to Be a Gangster (J'ai toujours rêvé d'être un gangster)
2019-12-23,The Casino Murder Case
2019-07-31,Hitler's Stealth Fighter
2019-10-25,Cold Weather
2019-11-19,"April Fools, The"
2019-05-14,Gun Woman
2019-11-05,They Won't Forget
2019-10-13,The Little Rascals Save the Day
2019-06-23,Where the Wild Things Are
2019-10-11,"Man from Nowhere, The (Ajeossi)"
2019-11-08,Inside: 'Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb'
2019-07-09,Crank
2019-03-07,Tales of Manhattan
2019-12-20,"Winning Season, The"
2019-07-22,Sophie's Choice
2019-04-28,"Squall, The"
2019-11-27,Charlie's Country
2019-11-02,Abandon Ship! (Seven Waves Away)
2019-05-24,Night and Day
2019-05-16,"See No Evil, Hear No Evil"
2019-04-28,Lucy
2019-03-27,Predictions of Fire (Prerokbe Ognja)
2019-11-05,Flow
2019-08-14,Milk
2019-08-18,Man's Best Friend
2019-08-30,Need for Speed
2019-04-09,Boogie Woogie
2019-03-09,"Life of Another, The (La vie d'une autre)"
2019-03-21,Dirty Sanchez: The Movie
2019-09-27,Mystery Team
2019-04-18,Robin Hood: Prince of Thieves
2019-11-23,Varsity Blues
2019-10-03,"Psychopath, The"
2019-04-06,Lady and the Tramp
2019-09-19,Heiter bis wolkig
2019-09-18,Fern flowers (Fleur de fougère)
2019-04-08,"Great Sinner, The"
2019-07-23,No Impact Man: The Documentary
2019-12-14,Stop Making Sense
2019-10-25,Dr. Cyclops
2019-09-18,No Way Back
2019-12-07,Back from Eternity
2019-11-03,"Ballad of Narayama, The (Narayama Bushiko)"
2019-12-20,With Six You Get Eggroll
2019-04-30,Your Friends and Neighbors
2019-08-05,"General, The"
2019-03-15,Brick
2019-10-15,Outsourced
2019-12-12,"Flame of New Orleans, The"
2019-06-08,Doctor at Sea
2019-06-23,Portraits of Women (Naisenkuvia)
2019-09-18,"Idolmaker, The"
2019-05-19,Exhibition
2019-11-10,Zombies of the Stratosphere
2019-10-01,Project A 2 ('A' gai wak juk jap)
2019-12-18,Captain Video: Master of the Stratosphere
2019-05-20,Little Manhattan
2019-12-23,Waco: A New Revelation
2019-04-19,How to Get Ahead in Advertising
2019-10-09,Cahill U.S. Marshal (Cahill: United States Marshal) (Wednesday Morning)
2019-12-21,The Face Behind the Mask
2019-11-14,Don Juan
2019-09-18,D.O.A.
2019-08-31,"Hole in the Soul, A (Rupa u dusi)"
2019-11-16,Southern District (Zona Sur)
2019-06-10,Samaritan Zatoichi (Zatôichi kenka-daiko) (Zatôichi 19)
2019-08-26,Ordinary Miracles
2019-05-27,Decoder
2019-04-01,Ninette
2019-03-15,Stay
2019-08-30,Cactus Flower
2019-12-15,Spin (You Are Here)
2019-06-03,Switching Goals
2019-09-04,Alan Partridge: Alpha Papa
2019-10-11,City Streets
2019-11-28,Blindsight
2019-12-12,Switchback
2019-10-09,TiMER
2019-07-24,Hitler: A Film from Germany (Hitler - ein Film aus Deutschland)
2019-07-31,Santa Fe Trail
2019-05-20,Real Women Have Curves
2019-11-16,Hey Arnold! The Movie
2019-04-02,Snake in the Eagle's Shadow (Se ying diu sau)
2019-06-11,"Art of Flight, The"
2019-06-15,9 Month Stretch (9 mois ferme)
2019-04-18,Come Out and Play
2019-05-25,L'Italien
2019-04-09,Boys Life 4: Four Play
2019-11-06,Street Fighter: The Legend of Chun-Li
2019-12-21,Confessions from a Holiday Camp
2019-07-11,Buck Privates
2019-10-26,Criminal
2019-09-23,Hot Shots! Part Deux
2019-07-22,"Fan, The"
2019-07-24,Tenchi: The Samurai Astronomer
2019-11-15,"Serpent's Egg, The (Schlangenei, Das)"
2019-08-03,Phat Girlz
2019-07-09,Dead or Alive 2: Tôbôsha
2019-03-07,My Favorite Wife
2019-07-26,"Train, The"
2019-12-13,Independencia
2019-11-01,Third World Cop
2019-11-13,Sunrise: A Song of Two Humans
2019-10-18,"Legend of Bigfoot, The"
2019-11-29,Pandora's Promise
2019-10-26,Aziz Ansari: Buried Alive
2019-05-15,When Brendan Met Trudy
2019-04-13,Puppet Master III: Toulon's Revenge
2019-07-07,Kippur
2019-05-04,City of Joy
2019-09-17,Colors
2019-03-28,Permanent Vacation
2019-11-17,Sugar Town
2019-08-29,Great Expectations
2019-08-10,Sealed Cargo
2019-03-29,Lord of Illusions
2019-05-06,"Competition, The"
2019-11-18,"Keeping the Promise (Sign of the Beaver, The)"
2019-10-01,Fear
2019-06-29,Violence at Noon (Hakuchu no torima)
2019-11-07,"Children of Glory (Szabadság, szerelem)"
2019-05-30,Frankenstein
2019-08-28,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)
2019-09-09,Marooned in Iraq (Gomgashtei dar Aragh)
2019-11-29,Woman on the Beach (Haebyeonui yeoin)
2019-12-13,Boys Love
2019-09-05,Fate Is the Hunter
2019-07-03,"Batman: The Dark Knight Returns, Part 1"
2019-07-20,"Genova (Summer in Genoa, A)"
2019-09-14,Running With Scissors
2019-08-09,Kalifornia
2019-09-19,Places in the Heart
2019-05-02,They All Laughed
2019-06-18,Coherence
2019-03-17,Naqoyqatsi
2019-09-06,Trancers II
2019-07-15,"Wolfman, The"
2019-07-11,Louis C.K.: Chewed Up
2019-10-29,Idlewild
2019-03-10,Navy Seals
2019-11-14,"Red Squirrel, The (Ardilla roja, La)"
2019-05-08,"Eyes Without a Face (Yeux sans visage, Les)"
2019-09-21,Neds
2019-12-28,"Trumpet of the Swan, The"
2019-05-28,Mindwalk
2019-08-17,"Combat dans L'Ile, Le (Fire and Ice)"
2019-06-26,Peking Opera Blues (Do ma daan)
2019-09-11,Revengers Tragedy
2019-08-23,Dead Genesis
2019-07-07,Going Berserk
2019-05-11,"Bachelor Party, The"
2019-03-12,"Park Is Mine, The"
2019-04-14,Who Are the DeBolts? [And Where Did They Get 19 Kids?]
2019-09-14,Life is a Miracle (Zivot je cudo)
2019-03-08,Cyclo (Xich lo)
2019-05-15,Widows' Peak
2019-12-17,"Crucified Lovers, The (Chikamatsu monogatari)"
2019-04-22,Gallipoli
2019-07-31,They Made Me a Criminal (I Became a Criminal) (They Made Me a Fugitive)
2019-09-25,"Game Plan, The"
2019-11-09,"Door in the Floor, The"
2019-12-27,Rejs
2019-10-06,That Darn Cat!
2019-08-13,18 Years Later (Diciotto anni dopo)
2019-04-25,Cheaper by the Dozen 2
2019-06-17,Elvis on Tour
2019-04-23,Life Is a Long Quiet River (La vie est un long fleuve tranquille)
2019-10-09,Beyond the Rocks
2019-10-14,Sometimes a Great Notion
2019-07-30,The Winslow Boy
2019-08-31,Faces of Death 6
2019-03-09,"Reaping, The"
2019-10-14,My Mother and Her Guest (Sarangbang sonnimgwa eomeoni)
2019-07-21,"Single Shot, A"
2019-08-25,"Killing Fields, The"
2019-03-28,Open Windows
2019-08-20,Green Dolphin Street
2019-05-16,"...All the Marbles (California Dolls, The)"
2019-05-01,Love's Long Journey
2019-06-21,Solarbabies
2019-12-24,WarGames: The Dead Code
2019-05-22,Too Beautiful for You (Trop belle pour toi)
2019-03-14,"Colder Kind of Death, A"
2019-06-12,Revolution OS
2019-09-14,Biggie and Tupac
2019-12-14,"Place Beyond the Pines, The"
2019-10-31,Radio Free Albemuth
2019-05-04,Hurricane Streets
2019-11-20,"Company, The"
2019-04-08,Shiner
2019-08-05,Lupin III: Sweet Lost Night (Rupan Sansei: Sweet Lost Night)
2019-08-19,Eulogy
2019-08-10,Wishful Thinking
2019-12-29,"Fairly Odd Christmas, A"
2019-11-03,Virtual Sexuality
2019-06-12,Crimes and Misdemeanors
2019-11-02,"Hangover Part II, The"
2019-11-11,Gloria
2019-09-05,Koran by Heart
2019-07-12,Hello Mary Lou: Prom Night II
2019-11-17,Possessed
2019-05-22,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
2019-03-16,Dog Soldiers
2019-12-30,"Lost World: Jurassic Park, The"
2019-07-25,The Missionaries
2019-07-03,Outrageous Fortune
2019-10-31,"Mysterious Geographic Explorations of Jasper Morello, The"
2019-10-13,Partners in Crime (Associés contre le crime...)
2019-04-03,Swing Vote
2019-12-01,"Final, The"
2019-12-20,Firehouse Dog
2019-05-11,"Group, The"
2019-09-26,Killer Condom (Kondom des Grauens)
2019-09-20,Harrison's Flowers
2019-03-14,"Me Two (Personne aux deux personnes, La)"
2019-09-13,"Color of Paradise, The (Rang-e khoda)"
2019-07-16,Three Coins in the Fountain
2019-05-09,"Bishop Murder Case, The"
2019-07-17,Gladiator
2019-07-24,Blind Faith
2019-12-15,Detention
2019-07-09,When Evening Falls on Bucharest or Metabolism
2019-12-09,Detroit
2019-10-02,Othello
2019-10-28,Chill Factor
2019-10-04,Soul Man
2019-04-26,Big Trouble
2019-09-05,Man's Job (Miehen työ)
2019-03-23,Bernard and Doris
2019-04-28,Spring Fever
2019-03-18,"Quiet Man, The"
2019-08-18,"Secret, The"
2019-06-02,Bombay Beach
2019-10-05,Dead Men Don't Wear Plaid
2019-09-16,Anatomy (Anatomie)
2019-11-25,Whity
2019-07-14,Ping Pong Playa
2019-11-24,Altered
2019-11-27,Boris Godunov
2019-04-27,Streamers
2019-03-30,"Flying Swords of Dragon Gate, The (Long men fei jia)"
2019-04-06,Best of the Best 2
2019-04-23,Alone in the Dark
2019-12-15,They Wait
2019-10-21,"Magic Voyage of Sindbad, The (Sadko)"
2019-09-02,Rolling
2019-08-06,Tin Man
2019-04-25,City Island
2019-09-23,Standby
2019-07-10,Bernard and Doris
2019-06-15,"Niagara, Niagara"
2019-06-17,"24 Hour Woman, The"
2019-11-07,Ulysses (Ulisse)
2019-12-16,Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard)
2019-11-13,Last Call at the Oasis
2019-11-17,Look Both Ways
2019-09-10,"Giant Claw, The"
2019-11-18,Hitting Home
2019-04-04,Air Doll (Kûki ningyô)
2019-08-05,Vivere
2019-07-18,The Derby Stallion
2019-08-17,Tiny Furniture
2019-08-05,Tom & Viv
2019-11-12,The Fuller Brush Girl
2019-05-21,Not Forgotten
2019-07-31,Which Way Is Up?
2019-11-08,Primal Fear
2019-07-26,"Aviator, The"
2019-04-09,Love In the Time of Money
2019-06-13,"Missing, The"
2019-08-16,Salaam Cinema
2019-06-27,Cleo from 5 to 7 (Cléo de 5 à 7)
2019-11-20,Nightbreed
2019-07-02,Faat Kiné
2019-09-02,Tyler Perry's Madea's Big Happy Family
2019-11-03,Jiminy Glick in La La Wood
2019-04-15,Iris
2019-07-18,Snakes and Earrings (Hebi ni piasu)
2019-09-14,"Player, The"
2019-08-28,Just Like Me (Igualita a Mi)
2019-09-12,"Fabulous Baker Boys, The"
2019-03-15,Network
2019-03-31,Free Fall
2019-09-15,100 Years at the Movies
2019-11-25,1987
2019-07-23,"Brøken, The (a.k.a. Broken, The)"
2019-11-22,Speedway
2019-10-02,Donkey Skin (Peau d'âne)
2019-10-28,Marina Abramovic: The Artist Is Present
2019-12-19,"Above the Street, Below the Water (Over gaden under vandet)"
2019-10-09,Mater and the Ghostlight
2019-12-05,16 Years of Alcohol
2019-04-11,Only the Lonely
2019-07-13,"Bride Wore Black, The (La mariée était en noir)"
2019-11-01,Easy Rider
2019-04-01,Container
2019-08-23,Bill Maher... But I'm Not Wrong
2019-10-10,Diabolique
2019-05-21,"Swan, The"
2019-07-21,"Clockwork Orange, A"
2019-06-28,Break-in
2019-12-19,"North and South, Book II"
2019-05-28,Price Check
2019-08-14,Fausto
2019-03-19,Seven Swords (Chat gim)
2019-12-12,"Little Soldier, The (Petit soldat, Le)"
2019-09-14,"Skin I Live In, The (La piel que habito)"
2019-09-19,Air Hawks
2019-07-07,Charlie Chan on Broadway
2019-03-11,Rabbit Without Ears (Keinohrhasen)
2019-08-16,Till Human Voices Wake Us
2019-09-21,Home Room
2019-03-19,Everyone Says I Love You
2019-05-26,I Was a Male War Bride
2019-04-08,"Detective, The (C+ jing taam)"
2019-03-21,"V.I.P.s, The"
2019-04-02,"27 Club, The"
2019-10-21,Viva María!
2019-11-14,"L-Shaped Room, The"
2019-09-12,Buffalo '66 (a.k.a. Buffalo 66)
2019-06-20,"Unknown Soldier, The (Tuntematon sotilas)"
2019-05-12,Little Big Soldier (Da bing xiao jiang)
2019-09-15,Friday the 13th Part VIII: Jason Takes Manhattan
2019-09-11,Cabeza de Vaca
2019-06-24,Wrath of the Titans
2019-06-03,Behind the Burly Q: The Story of Burlesque in America
2019-08-13,Chicago Joe and the Showgirl
2019-12-11,Cats
2019-03-10,Life Without Dick
2019-12-13,Dog Day Afternoon
2019-03-27,"League of Extraordinary Gentlemen, The (a.k.a. LXG)"
2019-05-03,Dead in Tombstone
2019-07-18,To Be Twenty
2019-07-09,Cave of Forgotten Dreams
2019-08-05,Tales of Terror (Kaidan Shin Mimibukuro)
2019-09-20,Wicked City (Yôjû toshi)
2019-03-27,Voyage to the Prehistoric Planet
2019-08-19,Stake Land
2019-09-19,Single White Female 2: The Psycho
2019-03-16,Sacro GRA
2019-09-01,Wonderland
2019-04-24,Men Don't Leave
2019-04-17,Congorama
2019-12-14,Any Day Now
2019-05-28,Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur)
2019-03-17,"Hard Man, The"
2019-12-02,Le grand soir
2019-06-18,Daria: Is It Fall Yet?
2019-05-27,"Absent-Minded Professor, The"
2019-09-26,"Notorious Bettie Page, The"
2019-08-27,Eerie Tales (Unheimliche Geschichten)
2019-03-12,"Man You Had in Mind, The"
2019-03-17,Sharpe's Sword
2019-06-11,Gleaming the Cube
2019-08-11,Return to House on Haunted Hill
2019-11-01,Goodfellas
2019-11-02,FC Venus
2019-08-29,Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!)
2019-03-30,Crave
2019-07-10,Delgo
2019-05-22,Old Gringo
2019-06-16,Bluebeard (Barbe-Bleue)
2019-12-19,"French Lieutenant's Woman, The"
2019-04-24,Retroactive
2019-11-03,"Great Diamond Robbery, The"
2019-11-01,Amazon Jack 2: The Movie Star (a.k.a. Hugo the Movie Star) (Jungledyret 2 - den store filmhelt)
2019-04-06,"Serpent and the Rainbow, The"
2019-10-11,Manon
2019-05-18,Deadly Friend
2019-08-20,"Flying Leathernecks, The"
2019-12-23,"Streetcar Named Desire, A"
2019-08-06,Noriko's Dinner Table (Noriko no shokutaku)
2019-05-09,Süperseks
2019-10-28,Vincent & Theo
2019-06-02,How to Beat the High Cost of Living
2019-07-12,"Little Traitor, The"
2019-07-28,Meeting Evil
2019-06-12,Dane Cook: Vicious Circle
2019-06-29,Boca
2019-03-29,Marked for Death
2019-07-29,"Devil's Double, The"
2019-05-30,Love is Eternal While It Lasts
2019-04-09,The Appointments of Dennis Jennings
2019-11-14,Cheerleader Massacre
2019-11-08,Bugsy
2019-10-18,Paparazzi
2019-09-21,Off and Running 
2019-09-21,Fiend with the Electronic Brain (Blood of Ghastly Horror)
2019-10-22,This is Martin Bonner
2019-08-24,Kogel mogel
2019-09-27,Million Dollar Mermaid
2019-09-28,"Farmer's Wife, The"
2019-04-10,Black Legion
2019-10-06,"Aristocats, The"
2019-08-04,Alone with Her
2019-05-13,A Cry in the Wild
2019-07-01,Death Becomes Her
2019-11-27,Stories We Tell
2019-03-08,Ready to Rumble
2019-04-27,Rock Star
2019-07-06,Mr. Average
2019-05-02,Rocker
2019-10-15,"Best Offer, The (Migliore offerta, La)"
2019-04-16,Full Moon High
2019-12-16,Cockneys vs Zombies
2019-08-17,So Much Water
2019-10-13,Shoot to Kill
2019-07-23,Battle of Los Angeles
2019-03-15,"Odd Couple, The"
2019-10-18,Fiston
2019-04-27,Trust Me
2019-10-16,Thunderbirds Are GO
2019-10-30,Blown Away
2019-07-24,Rurouni Kenshin (Rurôni Kenshin: Meiji kenkaku roman tan)
2019-04-21,OSS 117 - Lost in Rio (OSS 117: Rio ne répond plus)
2019-12-23,Perched on a Tree (Sur un arbre perché)
2019-04-16,"Testament of Orpheus, The (Testament d'Orphée)"
2019-12-14,"View from the Top, A"
2019-04-26,Adam and Dog
2019-05-01,How to Stuff a Wild Bikini
2019-04-14,Just Like Heaven
2019-10-06,"Zombie Lake (Lac des morts vivants, Le) (Zombies Lake) (Lake of the Living Dead, The)"
2019-04-12,Gung Ho! (Gung Ho!: The Story of Carlson's Makin Island Raiders)
2019-06-30,They Won't Believe Me
2019-03-14,200 M.P.H.
2019-04-23,Whoregasm
2019-09-09,Drishyam
2019-03-20,Barefoot Gen 2 (Hadashi no Gen II)
2019-12-20,The Student
2019-11-07,Quality Street
2019-11-29,Absolute Power
2019-11-26,The Devil Thumbs a Ride
2019-05-10,Noi the Albino (Nói albinói)
2019-06-13,Contact High
2019-06-24,"Convent, The (O Convento)"
2019-10-01,"Art of the Steal, The"
2019-09-13,"Story of Us, The"
2019-10-08,"Prince & Me II: The Royal Wedding, The"
2019-10-06,Signs of Life (Lebenszeichen)
2019-08-25,"Autumn Tale, An (Conte d'automne)"
2019-12-19,"Last Song, The"
2019-10-18,Shooter
2019-12-12,Northfork
2019-08-26,"Band Wagon, The"
2019-05-26,Ten Little Indians (Ein Unbekannter rechnet ab) (And Then There Were None)
2019-12-12,Summer of '04 (Sommer '04)
2019-04-01,Heart of Glass (Herz aus Glas)
2019-09-23,Liliom
2019-05-05,Captain Blood
2019-05-20,Silent Witness (Do Not Disturb)
2019-10-07,Crooklyn
2019-11-05,How to Be
2019-03-27,AM1200
2019-05-16,"Letzte schöne Herbsttag, Der"
2019-04-28,Accomplices (Complices)
2019-12-11,Imitation of Life
2019-09-24,Funny Ha Ha
2019-06-10,Resident Evil: Degeneration (Baiohazâdo: Dijenerêshon)
2019-05-03,Clandestine Childhood
2019-09-19,Employee of the Month
2019-05-09,My Summer of Love
2019-04-24,Naked Souls
2019-04-25,This Filthy World
2019-03-30,"Hunger Games, The"
2019-09-24,International House
2019-09-15,"Jodorowsky Constellation, The (La constellation Jodorowsky)"
2019-11-24,Weekend (a.k.a. Le Week-end) (Week End)
2019-10-04,"Final Conflict, The (a.k.a. Omen III: The Final Conflict)"
2019-07-16,Your Vice is a Locked Room and Only I Have the Key
2019-10-09,"Merchant of Four Seasons, The (Händler der vier Jahreszeiten)"
2019-07-19,Fire in Castilla (Tactilvision from the Moor of the Fright)
2019-09-02,Alpha and Omega
2019-12-16,Tillie's Punctured Romance
2019-06-27,The Bloody Olive
2019-05-15,Finding Nemo
2019-11-03,Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14)
2019-11-02,Under African Skies
2019-06-10,Cherry Falls
2019-07-11,Rx
2019-05-15,Beethoven's 2nd
2019-05-20,Casino Jack and the United States of Money
2019-06-23,The Pee-Wee Herman Show on Broadway
2019-12-02,King of Texas
2019-10-07,"Rewrite, The"
2019-07-27,Car Wash
2019-06-15,Steak
2019-04-12,One Man Against the Organization
2019-04-06,Industrial Symphony No. 1: The Dream of the Brokenhearted
2019-04-08,I Dream Too Much
2019-06-05,"Promotion, The"
2019-04-30,Volcano (Eldfjall)
2019-07-10,Married to It
2019-11-26,Big Bad Wolves
2019-10-16,How Do You Write a Joe Schermann Song
2019-04-15,Porky's
2019-09-26,"Haunted World of Edward D. Wood Jr., The"
2019-05-19,"Bon Voyage, Charlie Brown (and Don't Come Back!)"
2019-11-10,Public Speaking
2019-03-13,Série noire
2019-04-29,Scream
2019-05-25,Ali Baba Goes to Town
